name
Jane Street and Wilson Avenue
Richmond Street East and Jarvis Street
Woodbine Avenue and Danforth Avenue
Front Street East and Jarvis Street
St. Clair Avenue East and Brimley Road
Lawrence Avenue East and Brimley Road
River Street and Dundas Street East
University Avenue and King Street West
Danforth Avenue and Logan Avenue
Bayview Avenue and River Street
Huntingwood Drive and Warden Avenue
Bathurst Street and Queen Street West
Runnymede Road and Bloor Street West
Bathurst Street and Richmond Street West
Greenwood Avenue and Danforth Avenue
Bloor Street East and Sherbourne Street North
Jarvis Street and Adelaide Street East
Bloor Street West and Bay Street
Jane Street and Lawrence Avenue West
Yonge Street / Davenport Road / Church St
King Street West and Yonge Street
Eglinton Avenue East and Kingston Road
Adelaide Street West and Spadina Avenue
Front Street West and Spadina Avenue
King Street West and Spadina Avenue
Danforth Avenue and Broadview Avenue
Sheppard Avenue West and Wilmington Avenue
King Street East and Sherbourne Street
King Street East and Jarvis Street
Bathurst Street and Front Street West
College Street and University Ave
Danforth Avenue and Dawes Road
Queen Street West and University Avenue
Bay Street and King Street West
Dundas Street West and Bloor Street West
Ellesmere Road and Morningside Avenue
Thorncliffe Park Drive West and Overlea Boulevard
Jarvis Street and Queen Street East
Danforth Avenue and Jones Avenue
Sheppard Avenue West and Weston Road
Bathurst Street and King Street West
Richmond Street West and Spadina Avenue
Queen Street West and Spadina Avenue
Queen Street West and Bay Street
Don Mills Road and Overlea Boulevard
Bay Street and Front Street West
Brimley Road and Eglinton Avenue East
Avenue Rd and Bloor Street West
Shaw Street and Bloor Street West
Adelaide Street West and Bay Street
Bloor Street West and Dufferin Street
Harbord Street/St. George Street/Hoskin Street
Morningside Avenue and Kingston Road
Bathurst Street and Adelaide Street West
Sheppard Avenue West and Jane Street
Eglinton Avenue West and Jane Street
