ratio_N_errs,ratio_S_errs,ratio_W_errs,ratio_E_errs,ratio_avg_errs,intersection
3067.7259498151498,2193.030755919138,3185.7154094234247,1553.5278848422872,2500.0,Jane Street and Wilson Avenue
3103.7581699346406,2084.150326797386,3312.908496732026,1499.1830065359477,2500.0000000000005,Jane Street and Wilson Avenue
3038.480101794568,2089.860032468957,3290.7726734237194,1580.8871923127551,2500.0,Jane Street and Wilson Avenue
3034.6921075455334,2111.014744145707,3272.7666955767563,1581.5264527320035,2500.0,Jane Street and Wilson Avenue
3063.215758131012,2107.65002290426,3269.354099862574,1559.7801191021529,2500.0,Jane Street and Wilson Avenue
3089.2544042748605,2031.8109710278031,3376.4715705101444,1502.4630541871923,2500.0,Jane Street and Wilson Avenue
3110.4537192144558,2196.9561963146452,3126.8489147093414,1565.7411697615566,2500.0,Jane Street and Wilson Avenue
3023.5382811191153,2103.7862288490533,3266.0412129334895,1606.6342770983413,2499.9999999999995,Jane Street and Wilson Avenue
3154.1758369049,2073.05301362987,3305.9191474574304,1466.8520020077995,2500.0,Jane Street and Wilson Avenue
3190.6146179401994,2190.6146179401994,3110.4651162790697,1508.3056478405315,2500.0,Jane Street and Wilson Avenue
3087.8840626644537,2033.356272517508,3244.1403878071487,1634.6192770108894,2500.0,Jane Street and Wilson Avenue
3049.3815229996135,2131.329725550831,3317.549284885968,1501.739466563587,2500.0,Jane Street and Wilson Avenue
3284.255438203819,2203.259425054207,3038.749387983493,1473.7357487584807,2500.0,Jane Street and Wilson Avenue
3190.0216272652697,2177.641882317846,3105.7498694906403,1526.5866209262435,2500.0,Jane Street and Wilson Avenue
3031.2942008486566,2145.5091937765205,3257.16053748232,1566.0360678925035,2500.0,Jane Street and Wilson Avenue
3093.5155412647373,1958.7352625937833,3375.3126116470166,1572.4365844944623,2500.0,Jane Street and Wilson Avenue
3157.3292402148886,2074.0598618572526,3218.342287029931,1550.2686108979276,2499.9999999999995,Jane Street and Wilson Avenue
2872.3736450015613,2091.270018289691,3401.4364098675114,1634.9199268412365,2499.9999999999995,Jane Street and Wilson Avenue
3207.5321786111554,2064.5955823931354,3208.326712219927,1519.5455267757825,2500.0,Jane Street and Wilson Avenue
3217.060409069288,2005.3115585856983,3216.267639131124,1561.3603932138892,2499.9999999999995,Jane Street and Wilson Avenue
3110.8104680167417,2014.5436096901026,3344.6074493721726,1530.0384729209825,2499.9999999999995,Jane Street and Wilson Avenue
2956.7982818437135,2105.154468858417,3291.7561539732365,1646.2910953246324,2499.9999999999995,Jane Street and Wilson Avenue
3084.384093113482,2020.9858037210122,3342.297857331805,1552.3322458337007,2500.0,Jane Street and Wilson Avenue
3114.2434389845025,2136.9052254497315,3249.357526672377,1499.4938088933884,2500.0,Jane Street and Wilson Avenue
2858.3946722747983,2138.5383806519453,3381.9663512092534,1621.1005958640028,2500.0,Jane Street and Wilson Avenue
3108.4090992076535,2179.1360864643807,3215.3941651148352,1497.06064921313,2500.0,Jane Street and Wilson Avenue
3093.9354242120676,2145.719349618556,3199.506819758033,1560.8384064113432,2500.0,Jane Street and Wilson Avenue
3087.678763494403,2139.186551408198,3227.1043301597415,1546.030354937657,2500.0,Jane Street and Wilson Avenue
3097.6386309365876,2084.991598125055,3258.1586627752718,1559.2111081630849,2499.9999999999995,Jane Street and Wilson Avenue
2954.182705849216,1922.8241479673268,3499.671392357525,1623.3217538259316,2500.0,Jane Street and Wilson Avenue
3187.464831407176,2074.189499199238,3182.2707007747913,1556.074968618794,2499.9999999999995,Jane Street and Wilson Avenue
3078.664620107444,2179.5855717574827,3193.0161166538755,1548.7336914811972,2500.0,Jane Street and Wilson Avenue
2903.447093122963,2136.4259989710167,3362.2020236666094,1597.92488423941,2499.9999999999995,Jane Street and Wilson Avenue
3060.0314771790454,2080.116915236453,3222.288840590572,1637.5627669939292,2500.0,Jane Street and Wilson Avenue
3094.556966853568,2149.3687302132203,3209.3679673494294,1546.7063355837815,2500.0,Jane Street and Wilson Avenue
3144.454644079112,2088.7924559793037,3255.4452140532417,1511.3076858883417,2499.9999999999995,Jane Street and Wilson Avenue
3058.637760327757,2062.5640150221916,3306.589279617617,1572.208945032434,2500.0,Jane Street and Wilson Avenue
3134.616267854682,2051.6235704771966,3286.1801313553483,1527.5800303127726,2500.0,Jane Street and Wilson Avenue
3099.441071213157,2100.6071816317503,3225.3005750130683,1574.651172142024,2500.0,Jane Street and Wilson Avenue
3052.675395443881,2110.0431393324757,3238.0988420494964,1599.1826231741466,2500.0,Jane Street and Wilson Avenue
2693.4654749224283,2180.3362200713195,3457.138887602464,1669.059417403788,2500.0000000000005,Jane Street and Wilson Avenue
3070.065749667218,2122.141099592594,3282.2395224073252,1525.5536283328627,2500.0,Jane Street and Wilson Avenue
3092.7680048113066,2096.6771913997895,3213.8024357239515,1596.7523680649524,2500.0,Jane Street and Wilson Avenue
3095.554080955541,2076.974120769741,3223.2913072329134,1604.180491041805,2500.0,Jane Street and Wilson Avenue
3123.9085569137956,2059.850769963486,3298.142562311478,1518.0981108112398,2499.9999999999995,Jane Street and Wilson Avenue
3087.267642704392,2157.838460273071,3175.686790590558,1579.207106431979,2500.0,Jane Street and Wilson Avenue
3062.257968424188,2133.6014298480786,3254.02144772118,1550.1191540065533,2500.0,Jane Street and Wilson Avenue
3063.6202044141605,2148.940897644793,3161.3834987409273,1626.0553992001182,2500.0,Jane Street and Wilson Avenue
3092.6138538078835,2091.848450057405,3261.3853807883656,1554.1523153463452,2500.0,Jane Street and Wilson Avenue
2992.3740053050396,2129.476127320955,3313.1631299734745,1564.9867374005305,2500.0,Jane Street and Wilson Avenue
3105.768474069411,2089.7930274651767,3207.287321948532,1597.1511765168805,2500.0,Jane Street and Wilson Avenue
3024.2641540898853,2125.8233969815724,3331.9436337863754,1517.9688151421662,2500.0,Jane Street and Wilson Avenue
3119.1750941899663,2055.1259171128295,3267.499504263335,1558.1994844338685,2499.9999999999995,Jane Street and Wilson Avenue
3055.070907708138,2120.5207354717486,3303.3597280007157,1521.0486288193977,2500.0,Jane Street and Wilson Avenue
3041.918189877158,2066.78205074085,3382.1604964329435,1509.1392629490479,2500.0,Jane Street and Wilson Avenue
3046.2498900905653,2073.7712125208827,3311.791084146663,1568.1878132418885,2499.9999999999995,Jane Street and Wilson Avenue
3102.820341994226,2010.2154119475904,3271.152564956695,1615.8116811014877,2500.0,Jane Street and Wilson Avenue
3068.5678339274477,2080.939400293563,3331.9354162298173,1518.5573495491715,2500.0,Jane Street and Wilson Avenue
3171.294318667236,2041.8624519436137,3269.1157624946604,1517.7274668944895,2500.0,Jane Street and Wilson Avenue
3159.2230878964115,2083.8362778448372,3188.485314020264,1568.455320238487,2499.9999999999995,Jane Street and Wilson Avenue
3064.5588624922725,2072.772233507021,3277.3999823368363,1585.2689216638698,2500.0,Jane Street and Wilson Avenue
3179.8719569383843,1994.0464054153244,3317.7017493781345,1508.3798882681565,2500.0,Jane Street and Wilson Avenue
3157.588414529768,2170.9062275326096,3085.0080454654385,1586.497312472183,2500.0,Jane Street and Wilson Avenue
3142.1879416871943,2080.523361466704,3235.4722771877396,1541.8164196583612,2500.0,Jane Street and Wilson Avenue
3073.5150559435306,2161.52286551025,3192.5358564241196,1572.4262221220997,2500.0,Jane Street and Wilson Avenue
3253.887516349368,1996.8027902921085,3199.752942886208,1549.5567504723151,2500.0,Jane Street and Wilson Avenue
2997.6758926684975,2112.4022818508342,3317.557574477076,1572.3642510035918,2499.9999999999995,Jane Street and Wilson Avenue
3078.815810029683,2159.8187783158883,3217.07545695985,1544.289954694579,2500.0,Jane Street and Wilson Avenue
3077.480639377408,2089.0397894174644,3213.2911150955633,1620.1884561095637,2499.9999999999995,Jane Street and Wilson Avenue
3112.4548584866043,2089.527168892248,3262.3666750650873,1535.6512975560593,2499.9999999999995,Jane Street and Wilson Avenue
3123.4946354280705,2127.2169914604774,3181.884533975622,1567.4038391358295,2500.0,Jane Street and Wilson Avenue
3135.3529323981493,2229.517982390688,3077.152663781525,1557.9764214296374,2500.0,Jane Street and Wilson Avenue
3061.303273625695,2119.7498455836935,3250.8492896849903,1568.0975911056207,2500.0,Jane Street and Wilson Avenue
2966.10513497057,2142.480211081794,3272.985589608281,1618.4290643393545,2500.0,Jane Street and Wilson Avenue
3139.8626384532927,2063.2021914327684,3266.505220532772,1530.4299495811663,2500.0,Jane Street and Wilson Avenue
3081.286183695822,2055.233922703802,3274.917853231106,1588.5620403692692,2500.0,Jane Street and Wilson Avenue
3153.872739142122,2055.2206136477093,3274.067816136093,1516.8388310740754,2500.0,Jane Street and Wilson Avenue
3128.563699171765,2068.922462229991,3224.7055396012815,1577.8082989969616,2500.0,Jane Street and Wilson Avenue
2967.6032923813,2183.0272067469487,3294.003162632283,1555.366338239468,2500.0,Jane Street and Wilson Avenue
3100.5462269876593,2054.21808618248,3244.588306696338,1600.6473801335221,2499.9999999999995,Jane Street and Wilson Avenue
3057.466770914777,2118.060985144644,3198.9835809225956,1625.4886630179826,2499.9999999999995,Jane Street and Wilson Avenue
3204.089113346638,2027.858102879485,3206.12552437584,1561.9272593980368,2500.0,Jane Street and Wilson Avenue
3135.225897145535,2090.671248389238,3137.959311179663,1636.1435432855635,2499.9999999999995,Jane Street and Wilson Avenue
3090.765522400465,2087.1083035491647,3321.4196658631868,1500.706508187183,2499.9999999999995,Jane Street and Wilson Avenue
3169.6507711398685,1938.0429001950008,3335.844708385038,1556.4616202800921,2499.9999999999995,Jane Street and Wilson Avenue
3031.6005823413548,2182.495503982187,3195.169992292541,1590.733921383917,2499.9999999999995,Jane Street and Wilson Avenue
3080.9743252139565,2106.2618595825425,3232.3897300855824,1580.3740851179182,2500.0,Jane Street and Wilson Avenue
3029.247346674228,2153.4472980636797,3210.7267276999105,1606.5786275621808,2500.0,Jane Street and Wilson Avenue
3071.4406923468523,2015.1026641778378,3334.0403868997114,1579.416256575598,2500.0,Jane Street and Wilson Avenue
3198.3493385784254,2039.0296579119904,3218.40410351344,1544.2168999961432,2499.9999999999995,Jane Street and Wilson Avenue
2996.9663100750436,2106.019479482676,3206.5304167331947,1690.483793709085,2500.0,Jane Street and Wilson Avenue
3057.2119258662365,2062.449637389202,3226.0273972602736,1654.3110394842868,2499.9999999999995,Jane Street and Wilson Avenue
3141.046085153883,2020.8100781374583,3255.0629883591128,1583.0808483495455,2500.0,Jane Street and Wilson Avenue
3208.2368709638113,2049.469964664311,3282.1575078185288,1460.1356565533488,2500.0,Jane Street and Wilson Avenue
3065.1227654988797,2036.9352998351858,3358.8302413049905,1539.1116933609433,2499.9999999999995,Jane Street and Wilson Avenue
2858.711853769514,2236.2124421432495,3348.238801286577,1556.836902800659,2500.0,Jane Street and Wilson Avenue
3002.9942609997506,2084.7542210762704,3265.8238376445147,1646.4276802794643,2500.0,Jane Street and Wilson Avenue
3230.438486188293,2065.874335780635,3186.224800227153,1517.4623778039183,2500.0,Jane Street and Wilson Avenue
3186.4667435601687,2071.510957324106,3211.841599384852,1530.1806997308727,2499.9999999999995,Jane Street and Wilson Avenue
3098.1416957026713,2119.628339140534,3274.8465239754437,1507.3834411813505,2500.0,Jane Street and Wilson Avenue
0.40991204499403106,-0.35927210131742154,1.9000348524113846,-0.1785319894747054,0.7119377470493856,Richmond Street East and Jarvis Street
0.26201143818656725,-0.3183126995054784,1.7026642712637856,-0.1324706036505862,0.6038647531516044,Richmond Street East and Jarvis Street
0.4262354579335811,-0.23460797530967295,1.4741882551843988,-0.21863424310815308,0.5884164828839514,Richmond Street East and Jarvis Street
0.3826990967546606,-0.29713191815537937,2.0820293457803962,-0.2803326645711059,0.7605482563153855,Richmond Street East and Jarvis Street
0.5727723244521301,-0.380281032718901,1.786049416971813,-0.17771964184836891,0.7292056039978032,Richmond Street East and Jarvis Street
0.416327672889045,-0.2689875069116694,1.8727953467245588,-0.27183350293238495,0.7074860073644146,Richmond Street East and Jarvis Street
-0.013090292134476586,-0.21924481148149258,1.1880989923856902,-0.03702776715472878,0.364365465789097,Richmond Street East and Jarvis Street
0.14819374259215817,-0.27419866729303277,1.3323942087879184,-0.059497500743041,0.4535710298540376,Richmond Street East and Jarvis Street
0.4602856084425926,-0.3887764607675803,2.3756698477488074,-0.27306155528943554,0.8744483680621039,Richmond Street East and Jarvis Street
0.328828227721957,-0.2893131773667649,1.9783614156585267,-0.24842163484915147,0.7112311138991001,Richmond Street East and Jarvis Street
0.6685831427858997,-0.3702535152596372,1.783578382101083,-0.21661582316666386,0.7597577158283209,Richmond Street East and Jarvis Street
0.6335063732552688,-0.4472098516360442,1.906794415630333,-0.15167250269598523,0.7847957858044078,Richmond Street East and Jarvis Street
0.2694262813941005,-0.31876913709608995,1.8751662046023188,-0.1746054391389637,0.6594917655578681,Richmond Street East and Jarvis Street
0.18003169778422856,-0.23951568264935802,1.1461816745258688,-0.06293755254508408,0.4071666518761349,Richmond Street East and Jarvis Street
0.3094747065856717,-0.19104285188645442,1.4685653661786962,-0.22961873677807598,0.5496754153572245,Richmond Street East and Jarvis Street
0.2511709866356645,-0.3207288702866371,1.6603398732518193,-0.11670045701246101,0.5872350467966455,Richmond Street East and Jarvis Street
-0.013826477465019077,-0.3490860683860285,1.1642046769243164,0.10939225544217883,0.4091273695543857,Richmond Street East and Jarvis Street
-0.011602385600491816,-0.1253276077401053,0.4969289305476899,0.022757199823038674,0.16415403092783143,Richmond Street East and Jarvis Street
0.3001913745839981,-0.3249522803648011,1.3368764945156102,-0.050985998142975344,0.5032515369018462,Richmond Street East and Jarvis Street
0.29648362529064126,-0.33449450522821417,1.886845668596339,-0.16839453620790878,0.6715545838307758,Richmond Street East and Jarvis Street
0.3694691277281897,-0.330374720625855,2.052670621707947,-0.2335050296076229,0.7465048749174037,Richmond Street East and Jarvis Street
0.3616074692230718,-0.3154653335014247,2.0896703981144578,-0.2559704160200555,0.7556784042147524,Richmond Street East and Jarvis Street
0.1908283282247356,-0.29659209869623193,1.4301903139456302,-0.07089423580497074,0.4971262441678921,Richmond Street East and Jarvis Street
0.3523777961536557,-0.280436368969106,1.903019387651581,-0.24741641524910357,0.6958124920058616,Richmond Street East and Jarvis Street
0.5055666258865485,-0.3105033182313173,1.9820831559844316,-0.2791350575838484,0.7693220394215364,Richmond Street East and Jarvis Street
