intersection,valid_24h_counts,AADPT,ratio_N_true,ratio_S_true,ratio_W_true,ratio_E_true,valid_8h_stc,LB_avg_err,MEAN_avg_err,UB_avg_err,PTILE_avg_err,LB_N_err,MEAN_N_err,UB_N_err,PTILE_N_err,LB_S_err,MEAN_S_err,UB_S_err,PTILE_S_err,LB_W_err,MEAN_W_err,UB_W_err,PTILE_W_err,LB_E_err,MEAN_E_err,UB_E_err,PTILE_E_err
Thompson Road and Laurier Avenue,362,267.1878968253968,0.19208140041748756,0.1373513229721371,0.37755740825039147,0.2930098683599838,75,0.022,0.071,0.119,0.104,-0.163,-0.004,0.155,0.09,-0.174,-0.017,0.139,0.084,-0.115,-0.01,0.095,0.069,-0.119,0.023,0.166,0.114
Ontario Street South and Childs Drive,362,130.29880952380955,0.1942086717648385,0.08037843418516043,0.2590976784131711,0.4663152156368298,75,-0.032,0.191,0.413,0.279,-0.449,-0.068,0.313,0.191,-0.392,0.022,0.437,0.231,-0.474,0.126,0.726,0.479,-0.283,-0.046,0.192,0.099
Ontario Street South and Pine Street,360,178.52857142857144,0.3450161372062628,0.10220786322050623,0.24964880460199343,0.3031271949712375,75,0.023,0.155,0.288,0.21,-0.263,0.005,0.272,0.166,-0.271,-0.007,0.257,0.141,-0.454,0.056,0.565,0.387,-0.267,-0.049,0.169,0.086
Main Street East and Ontario Street North,361,302.25873015873015,0.3731442630354527,0.12033997993939805,0.2048820258057063,0.30163373121944304,75,0.025,0.204,0.382,0.347,-0.225,0.036,0.297,0.202,-1.192,-0.194,0.804,0.523,-0.108,0.034,0.175,0.132,-0.128,0.01,0.148,0.098
Bronte Street North and Main Street West,361,203.72936507936507,0.1262305268037663,0.4732273986264069,0.06899228279034976,0.331549791779477,75,0.004,0.187,0.37,0.295,-0.381,0.013,0.408,0.224,-0.17,-0.005,0.159,0.096,-0.573,0.242,1.057,0.695,-0.187,-0.048,0.091,0.027
Laurier Avenue and Ontario Street South,362,294.115873015873,0.30589458317367624,0.31545039478015907,0.1661881452618286,0.21246687678433618,75,0.049,0.124,0.198,0.179,-0.092,0.059,0.21,0.144,-0.06,0.107,0.275,0.22,-0.322,-0.17,-0.018,-0.067,-0.27,-0.111,0.047,-0.01
Thompson Road and Drew Centre,361,604.1690476190474,0.09459404429276472,0.3268085643012244,0.26292999830542535,0.3156673931005856,75,0.03,0.094,0.158,0.136,-0.115,0.12,0.355,0.289,-0.085,0.028,0.141,0.104,-0.238,-0.113,0.011,-0.038,-0.046,0.029,0.105,0.082
Louis St Laurent Avenue and Farmstead Drive,362,452.2666666666667,0.24301797296159028,0.34685034464847264,0.2576765007300089,0.15245518165992808,75,0.071,0.123,0.175,0.153,-0.27,-0.186,-0.102,-0.135,-0.071,0.039,0.148,0.116,0.01,0.163,0.316,0.257,-0.18,-0.066,0.047,-0.013
Main Street E and Harris / Pearson,362,584.6279761904763,0.18274204359372476,0.29090029780843546,0.2641562518559998,0.2622014067418399,75,0.152,0.217,0.282,0.249,-0.369,-0.276,-0.184,-0.227,-0.271,-0.189,-0.107,-0.149,0.085,0.196,0.306,0.261,0.08,0.205,0.331,0.277
Main Street East and Maple / Sinclair,362,229.26964285714286,0.28744313161445206,0.31809342814787117,0.20967547915698487,0.18478796108069181,75,0.039,0.095,0.151,0.131,-0.244,-0.11,0.023,-0.031,-0.02,0.089,0.197,0.148,-0.085,0.063,0.211,0.151,-0.189,-0.052,0.085,0.026
Thompson Road North and Maple Avenue,362,202.73015873015868,0.41340236454744755,0.08871554963983713,0.23705664735358606,0.2608254384591293,75,0.019,0.108,0.196,0.156,-0.198,-0.062,0.073,0.02,-0.054,0.179,0.412,0.32,-0.124,0.046,0.216,0.152,-0.153,-0.004,0.144,0.085
Thompson Road North and Woodward Avenue,362,279.71964285714284,0.2007281951103252,0.14350252910546057,0.1925872489957703,0.463182026788444,75,0.038,0.09,0.142,0.124,-0.019,0.125,0.268,0.228,-0.179,-0.011,0.158,0.094,-0.152,0.02,0.191,0.131,-0.132,-0.059,0.015,-0.014
Main Street West and Scott Boulevard,14,135.7142857142857,0.25526315789473686,0.5563157894736843,0.08894736842105264,0.09947368421052631,6,0.043,0.117,0.192,0.169,-0.227,-0.135,-0.043,-0.073,-0.001,0.08,0.161,0.124,-0.293,-0.0,0.293,0.204,-0.291,-0.101,0.088,0.021
