intersection,valid_24h_counts,AADPT,ratio_N_true,ratio_S_true,ratio_W_true,ratio_E_true,valid_8h_stc,LB_avg_err,MEAN_avg_err,UB_avg_err,PTILE_avg_err,LB_N_err,MEAN_N_err,UB_N_err,PTILE_N_err,LB_S_err,MEAN_S_err,UB_S_err,PTILE_S_err,LB_W_err,MEAN_W_err,UB_W_err,PTILE_W_err,LB_E_err,MEAN_E_err,UB_E_err,PTILE_E_err
Jane Street and Wilson Avenue,0,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,2942.427,3085.254,3228.082,3160.787,1997.925,2095.725,2193.526,2158.136,3130.8,3255.823,3380.847,3331.937,1488.395,1563.197,1637.999,1616.204
Richmond Street East and Jarvis Street,11,350.84000000000003,0.11412609736632082,0.414034887698096,0.08949948694561623,0.38233952798996684,77,0.385,0.645,0.906,0.789,0.039,0.347,0.654,0.546,-0.409,-0.304,-0.199,-0.233,1.078,1.735,2.391,2.09,-0.326,-0.18,-0.034,-0.074
Woodbine Avenue and Danforth Avenue,0,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,3537.366,4100.391,4663.417,4299.768,2065.414,2322.871,2580.327,2404.618,1806.995,2033.015,2259.035,2096.988,1258.669,1543.723,1828.777,1712.743
Front Street East and Jarvis Street,2,465.75,0.20611916264090177,0.36983360171765967,0.04079441760601181,0.3832528180354267,77,0.856,1.055,1.254,1.184,-0.129,0.039,0.206,0.154,-0.142,-0.041,0.059,0.01,2.985,3.699,4.413,4.132,-0.431,-0.375,-0.32,-0.343
St. Clair Avenue East and Brimley Road,141,617.0196428571428,0.21560438860767914,0.2940231444099404,0.33350537128201074,0.15686709570036972,77,0.039,0.102,0.165,0.131,-0.078,0.07,0.218,0.168,-0.216,-0.137,-0.059,-0.09,-0.089,0.06,0.209,0.144,-0.154,0.034,0.222,0.177
Lawrence Avenue East and Brimley Road,135,695.491798941799,0.16701287467777165,0.3647242121311135,0.3266003768031377,0.1416625363879771,77,0.106,0.166,0.226,0.208,0.131,0.265,0.398,0.35,-0.113,-0.049,0.015,-0.013,-0.215,-0.16,-0.105,-0.123,0.094,0.184,0.273,0.246
River Street and Dundas Street East,281,167.11249999999998,0.18352573532467317,0.09912650327041835,0.606696135456701,0.11065162594820757,76,0.13,0.711,1.293,0.849,-1.6,-0.382,0.837,0.232,-2.237,0.368,2.972,1.756,-0.556,0.118,0.791,0.594,-1.433,-0.341,0.751,0.586
University Avenue and King Street West,0,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,2723.887,2990.712,3257.536,3132.134,2232.581,2613.677,2994.774,2799.32,2489.605,2824.607,3159.609,3088.55,973.549,1571.004,2168.459,1969.206
Danforth Avenue and Logan Avenue,23,57.38095238095238,0.26058091286307056,0.41244813278008297,0.2024896265560166,0.12448132780082986,75,0.101,0.161,0.221,0.197,0.087,0.299,0.511,0.424,-0.325,-0.229,-0.133,-0.175,-0.041,0.065,0.17,0.122,-0.038,0.027,0.093,0.071
Huntingwood Drive and Warden Avenue,361,921.4440476190476,0.21141785301624996,0.3232381109877999,0.22536313989558318,0.23998089610036694,77,0.011,0.049,0.087,0.07,-0.086,-0.002,0.083,0.063,-0.05,0.017,0.085,0.056,-0.12,-0.041,0.038,0.011,-0.119,0.017,0.152,0.089
Bathurst Street and Queen Street West,0,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,2592.018,2751.887,2911.756,2848.581,3241.445,3437.742,3634.039,3558.158,1814.315,1913.366,2012.418,1976.616,1770.364,1897.004,2023.645,1973.109
Runnymede Road and Bloor Street West,1,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,3717.183,3789.996,3862.81,3837.536,2038.865,2123.22,2207.575,2170.008,1915.977,2001.361,2086.744,2052.436,2018.473,2085.423,2152.374,2130.109
Bathurst Street and Richmond Street West,0,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,1655.009,1788.191,1921.373,1880.999,1411.593,1537.763,1663.933,1611.53,2530.923,2769.878,3008.832,2909.79,3499.81,3904.168,4308.527,4145.325
Greenwood Avenue and Danforth Avenue,0,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,2155.433,2354.331,2553.228,2443.26,1644.791,1859.763,2074.735,1997.94,3329.343,3550.758,3772.174,3683.616,1968.997,2235.148,2501.299,2405.225
Bloor Street East and Sherbourne Street North,63,203.2275132275132,0.07229888049986984,0.6000520697734966,0.13243946888831032,0.19520958083832335,77,0.496,0.718,0.941,0.866,-1.252,-0.88,-0.508,-0.695,0.158,0.452,0.747,0.616,-1.496,-0.801,-0.106,-0.749,-1.335,-0.52,0.295,-0.146
Jarvis Street and Adelaide Street East,0,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,2962.774,3235.278,3507.782,3419.119,1645.211,1898.209,2151.206,2048.014,3368.285,3629.802,3891.319,3781.572,1041.867,1236.711,1431.556,1348.526
Bloor Street West and Bay Street,0,0.0,0.0,0.0,0.0,0.0,77,2500.0,2500.0,2500.0,2500.0,2682.155,2811.33,2940.504,2883.646,1719.907,1962.758,2205.609,2117.093,2953.665,3110.85,3268.035,3213.379,2034.078,2115.063,2196.048,2167.719
